"序号","单词","分类","音标","词性","中文","词源/记忆技巧","级别","常考题型","常见搭配","易混淆","例句","真题考法"
"1","coffee","饮品","/ˈkɒfi/（英）  /ˈkɔːfi/（美）","n.","咖啡","Coffee 来自阿拉伯语，意思是""让人兴奋的东西""。想象一杯热咖啡冒出的香气像小火车""咔咔""开过来——""coffee""听起来就像""咔啡""，喝了精神好！","KET 核心词汇","听力 Part 2（点餐场景）；阅读 Part 3（菜单/日常对话）","a cup of coffee（一杯咖啡）；black coffee（黑咖啡）；coffee shop（咖啡店）；make coffee（煮咖啡）","coffee（咖啡）vs tea（茶）——coffee 是棕色热饮，tea 是茶叶泡的；cafe（咖啡馆）是地方，coffee 是饮料","My dad drinks a cup of coffee every morning. 我爸爸每天早上喝一杯咖啡。","听对话选""顾客点了什么饮料""，或在菜单阅读题中判断哪种饮品不含牛奶"
"2","cola","饮品","/ˈkəʊlə/（英）  /ˈkoʊlə/（美）","n.","可乐","Cola 来自可乐果（kola nut），一种非洲植物，以前人们用它做提神饮料。记住：Cola 就是""C 乐""——喝可乐，快乐！","KET 核心词汇","听力 Part 2（快餐店/派对场景）；阅读 Part 3（饮食健康话题）","a can of cola（一罐可乐）；cola drink（可乐饮料）；diet cola（低糖可乐）","cola（可乐）vs coffee（咖啡）——cola 是冰的、有气泡的甜饮料；coffee 是热饮","Can I have a cola, please? 请给我来一罐可乐好吗？","听对话判断孩子选了哪种软饮料，或在阅读中区分 healthy/unhealthy drinks"
"3","chocolate","饮品","/ˈtʃɒklət/（英）  /ˈtʃɑːklət/（美）","n.","巧克力","Chocolate 来自墨西哥古代语言，原意是""苦水""。把单词拆开记：choco + late——""巧克力来晚了""，因为太好吃了，一眨眼就被吃光啦！","KET 核心词汇","听力 Part 2（生日派对/购物）；阅读 Part 4（喜好表达）","a bar of chocolate（一条巧克力）；hot chocolate（热巧克力）；chocolate cake（巧克力蛋糕）；dark chocolate（黑巧克力）","chocolate（巧克力）vs cocoa（可可粉）——chocolate 是成品糖果，cocoa 是做巧克力的粉末","I love eating chocolate after dinner. 我喜欢晚饭后吃巧克力。","听录音选""生日礼物是什么""，或阅读中判断某人 favorite food"
"4","drink","饮品","/drɪŋk/","n. / v.","饮料；喝","Drink 是英语里很古老的词，和""干杯""drink up 是一家人。做名词是""drink""（饮料），做动词是""drink""（喝）——同一个词，两种用法，像变形金刚！","KET 核心词汇","听力 Part 2（餐厅点餐）；阅读 Part 3（日常对话）；写作 Part 6（邀请信中的 food and drink）","soft drink（软饮料）；drink water（喝水）；have a drink（喝一杯）；hot/cold drink（热/冷饮）","drink（喝/饮料）vs eat（吃）——drink 用于液体，eat 用于固体食物","What would you like to drink? 你想喝点什么？","听对话填空 ""Would you like something to ___?"" 或在阅读中选择正确的动词形式"
"5","juice","饮品","/dʒuːs/","n.","果汁","Juice 来自拉丁语，意思是""液体、汁""。想象水果被挤压，""juice"" 就像""啾~""一声，汁水喷出来啦！橘子汁 orange juice 最经典。","KET 核心词汇","听力 Part 2（早餐/野餐场景）；阅读 Part 3（健康饮食）","orange juice（橙汁）；apple juice（苹果汁）；fresh juice（鲜榨果汁）；a glass of juice（一杯果汁）","juice（果汁）vs jam（果酱）——juice 是液体，jam 是稠的、涂在面包上的","I had orange juice for breakfast. 我早餐喝了橙汁。","听对话判断早餐喝了什么，或在阅读 healthy food 列表中选出 juice"
"6","lemonade","饮品","/ˌleməˈneɪd/","n.","柠檬水","Lemonade = lemon（柠檬）+ ade（饮料后缀）。夏天最热的时候，来一杯冰 lemonade，酸酸甜甜，像柠檬在对你笑！","KET 核心词汇","听力 Part 2（派对/野餐）；阅读 Part 3（描述饮料）","a glass of lemonade（一杯柠檬水）；fresh lemonade（鲜榨柠檬水）；homemade lemonade（自制柠檬水）","lemonade（柠檬水）vs lemon（柠檬）——lemon 是水果，lemonade 是用柠檬做的饮料","She made lemonade for the picnic. 她为野餐做了柠檬水。","听对话判断派对准备了什么饮料，或在阅读描述 summer drinks 时出现"
"7","milk","饮品","/mɪlk/","n.","牛奶","Milk 是英语最古老的词之一，和中文""奶""一样，全世界妈妈都会给小孩 milk！记住：milk 白白的，像 Milky Way 银河一样温柔。","KET 核心词汇","听力 Part 2（购物清单）；阅读 Part 3（早餐/健康话题）","a glass of milk（一杯牛奶）；milk shake（奶昔）；skimmed milk（脱脂奶）；pour milk（倒牛奶）","milk（牛奶）vs water（水）——milk 白色、来自动物，water 透明、无色","Children need to drink milk every day. 孩子们需要每天喝牛奶。","听购物对话判断买了什么，或在阅读 healthy breakfast 文章中选择 milk"
"8","mineral","饮品","/ˈmɪnərəl/","n.","矿泉水（mineral water 的简称）","Mineral 来自 mine（矿）+ al，意思是""来自矿里的""。矿泉水是从地下矿物质丰富的水源取来的，所以叫 mineral water。记：miner（矿工）挖矿，mineral 是矿里的好水！","KET 核心词汇","听力 Part 2（餐厅/运动场景）；阅读 Part 3（健康与饮食）","mineral water（矿泉水）；a bottle of mineral water（一瓶矿泉水）；still/sparkling mineral water（无气/有气矿泉水）","mineral water（矿泉水）vs tap water（自来水）——mineral water 是瓶装商品，tap water 是水龙头里的","I'd like a bottle of mineral water, please. 请给我一瓶矿泉水。","听餐厅对话选饮料，或在阅读中区分 still water 和 sparkling water"
"9","yoghurt","饮品","/ˈjɒɡət/（英）  /ˈjoʊɡərt/（美）","n.","酸奶","Yoghurt 来自土耳其语，是一种发酵的奶制品。美国人常拼 yogurt（少一个 h）。想象""yoghurt""里藏着""yo""（哟）——""哟，好酸好滑！"" 就是酸奶的感觉。","KET 核心词汇","听力 Part 2（超市购物）；阅读 Part 3（早餐/零食话题）","a pot of yoghurt（一杯/盒酸奶）；fruit yoghurt（水果酸奶）；low-fat yoghurt（低脂酸奶）；Greek yoghurt（希腊酸奶）","yoghurt（酸奶）vs milk（牛奶）——yoghurt 是发酵后的，更稠、更酸；milk 是液体","I eat yoghurt with fruit for breakfast. 我早餐吃酸奶配水果。","听购物对话判断买了哪种 dairy product，或在阅读 healthy snack 选项中出现"
"10","boil","烹饪","/bɔɪl/","v.","煮；沸腾","Boil 来自拉丁语，原意是""冒泡""。水烧开了，咕嘟咕嘟冒泡，就像锅在"" boil boil"" 说话！煮鸡蛋 = boil an egg，简单好记。","KET 核心词汇","听力 Part 4（烹饪说明）；阅读 Part 4（食谱/操作步骤）","boil water（烧水）；boil an egg（煮鸡蛋）；boil rice（煮饭）；bring to the boil（煮至沸腾）","boil（煮/沸腾）vs bake（烘焙）——boil 用水，bake 用烤箱；boil 是 wet cooking，bake 是 dry heat","Boil the water before you make tea. 泡茶前先烧水。","听烹饪节目选第一步做什么，或在阅读 recipe 中按顺序排列 cooking steps"
